"ID";"regiao.wgts";"P02";"P03";"P04";"P05";"P06";"P07";"P08_1";"P08_2";"P08_3";"P08_4";"P08_5";"P08_6";"P08_7";"P08_8";"P09";"P10";"P11";"P12_01";"P12_02";"P12_03";"P12_04";"P13";"P15";"P16";"P17_1";"P17_2";"P17_3";"P17_4";"P17_5";"P18_A";"P19_1";"P19_2";"P19_3";"P19_4";"P19_5";"P21_A";"P22_A";"P22_B";"P22_E";"P23";"P25";"P26";"P28_1";"P28_2";"P28_3";"P28_4";"P28_5";"P28_6";"P28_7";"P28_8";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_07";"P30_08";"P30_09";"P30_10";"P30_11";"P30_12";"P33_1";"P33_2";"P35";"P36";"P38";"P39";"P40";"P41";"V06";"V07";"V08";"V09";"V10";"V11";"V12";"V12_A";"V12_B";"V13";"V14";"V15";"POP_regiao_raca";"POP_regiao_idade";"POP_regiao_edu";"POP_regiao_porte";"W1";"W2";"idade.wgts";"edu.wgts";"raca.wgts";"porte.wgts"
"1";5;50;2;1;2;1;3;"1";"1";"1";"1";"1";"1";"1";"2";3;2;2;2;2;2;2;2;1;2;"1";"2";"2";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;1;1;2;1;32;3;2;2;2;1;;;3;1;2;2;"3669920.78366589";"1265229.88040335";"1976804.0794201";"1954125.97753969";0,182984706628559;4534,25549229278;2;1;4;2
"2";4;43;2;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;2;5;1;2;1;1;2;1;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;1;1;1;48;1;3;1;1;;;;5;5;97;4;"10072401.6435758";"2281776.21520491";"3480847.43992385";"2443804.96747532";0,426501513466645;8180,63123796325;3;3;1;3
"3";1;17;3;1;2;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;3;4;1;1;1;2;2;1;1;"1";"2";"1";"2";"2";1;2;2;1;2;2;97;;;;2;2;2;97;97;97;97;97;97;97;97;5;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;1;2;1;3;1;48;3;2;2;1;;;;5;2;97;97;"5164153.94647996";"1349979.57783012";"2267202.44555839";"2828257.81207705";0,239731863563941;11515,8941166617;3;1;4;2
"4";2;29;3;2;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;1;3;1;1;1;1;2;1;1;"1";"1";"1";"2";"1";1;2;2;1;2;1;1;1;;;1;1;1;2;2;1;2;2;2;2;2;5;1;2;1;2;2;2;1;2;2;2;2;2;1;1;3;3;1;1;2;1;42;1;4;1;1;;;;2;1;4;1;"6273888.68778369";"4595041.07124126";"4208133.6330169";"7731021.03806011";0,580278168423321;14688,6611390481;3;4;1;2
"5";1;15;2;1;2;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;3;1;1;1;2;2;2;1;"1";"1";"1";"1";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;8;3;1;2;2;1;42;3;3;1;1;;;;1;4;3;4;"5164153.94647996";"1349979.57783012";"2358346.69976694";"2828257.81207705";0,179930621055583;6290,35733230617;3;3;4;2
"6";4;41;2;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;2;3;1;1;1;1;2;1;1;"2";"1";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;3;1;1;2;2;28;1;6;;1;;;;1;1;4;4;"10072401.6435758";"2651313.51254732";"3392772.73855813";"5811472.35270075";0,573227083572636;20804,5579123775;1;4;1;2
"7";4;42;2;3;1;2;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;3;2;2;2;1;1;2;1;"1";"2";"1";"2";"1";1;1;2;1;2;1;3;;;;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;2;1;6;1;36;1;3;2;2;2;1;2;;1;4;4;"10072401.6435758";"2252075.16102183";"2041883.72723215";"5811472.35270075";0,455385003963667;10547,5551902945;2;2;1;2
"8";5;53;3;3;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;3;2;2;1;2;2;1;1;"1";"1";"1";"1";"1";1;2;1;2;2;1;7;;;;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;;;1;2;2;1;1;2;29;1;4;1;1;;;;5;4;2;1;"2544897.92588269";"1628314.05813775";"1926584.00950762";"2810671.34868652";0,333634274987034;8496,53982765699;1;4;1;3
"9";4;43;3;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;4;1;1;2;2;2;1;1;"1";"2";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;18;1;3;2;2;2;2;2;;4;3;1;"10072401.6435758";"2651313.51254732";"2041883.72723215";"5811472.35270075";0,426501513466645;14819,3708038453;1;2;1;2
"10";5;53;3;3;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;3;3;2;2;1;1;2;2;1;"1";"2";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;1;1;2;1;40;1;3;1;2;1;;;5;2;5;2;"2544897.92588269";"1357583.87039275";"1927007.87039979";"2810671.34868652";1,0009028249611;26566,6799667659;3;3;1;3
"11";3;31;2;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;1;4;1;1;1;2;1;1;1;"1";"1";"1";"1";"1";1;1;1;1;1;1;3;;;;1;1;2;2;2;2;2;2;2;2;2;3;1;1;1;1;1;2;1;2;2;2;1;1;1;1;2;1;1;1;1;1;29;2;3;1;1;;;;5;3;5;97;"3707808.66257895";"8292998.1115813";"12322615.2408783";"16041980.2259275";1,37301394574092;61887,5380639219;1;3;2;3
"12";4;42;2;3;1;1;2;"1";"1";"1";"1";"1";"1";"1";"2";1;2;5;1;1;1;1;2;2;1;"1";"2";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;1;1;1;1;1;49;1;4;1;1;;;;1;2;4;2;"10072401.6435758";"2281776.21520491";"3392772.73855813";"2443804.96747532";0,910770007927334;12699,8234843132;3;4;1;3
"13";3;31;1;1;1;1;4;"1";"1";"1";"1";"1";"1";"1";"2";3;1;3;1;2;2;1;2;3;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;1;1;2;1;49;0;3;2;2;1;;;5;2;2;4;"14014348.5743857";"7214590.0083199";"5696273.08719308";"8084671.29925415";1,37301394574092;20284,774410702;3;2;4;1
"14";5;51;3;2;2;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;3;2;1;1;1;2;2;1;1;"1";"2";"1";"2";"2";1;1;2;1;2;2;1;2;;1;2;2;2;2;2;2;2;2;2;2;1;5;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;2;1;2;1;47;3;3;1;2;2;1;1;;5;2;4;"3669920.78366589";"1357583.87039275";"1927007.87039979";"2153020.05470942";0,451813366522763;20996,9088905345;3;3;4;1
"15";4;41;2;1;2;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;3;1;1;1;2;2;1;2;"1";"2";"1";"2";"1";1;1;2;1;2;1;1;2;;1;1;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;2;1;1;2;1;1;1;1;2;2;2;1;1;1;1;22;0;2;2;2;2;1;1;;1;2;4;"2358209.30927529";"2651313.51254732";"4175632.01705986";"2443804.96747532";0,573227083572636;14929,9028413106;1;1;4;3
"16";3;32;2;3;97;2;97;"1";"1";"1";"1";"1";"1";"1";"2";2;2;5;1;2;2;2;1;1;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;3;1;1;4;1;73;1;2;2;2;2;2;2;;1;2;4;"21435571.5784308";"10873729.3575279";"10487709.0241656";"8084671.29925415";1,06851930192143;69783,5175181734;5;1;1;1
"17";4;41;3;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;1;2;1;2;1;1;2;1;2;"2";"2";"1";"1";"1";1;1;2;2;2;2;1;2;;1;2;2;2;2;2;1;1;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;1;1;1;1;37;1;3;1;1;;;;1;1;5;3;"10072401.6435758";"2252075.16102183";"3480847.43992385";"5811472.35270075";0,573227083572636;19076,5423248511;2;3;1;2
"18";2;25;3;2;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;2;3;1;1;2;2;2;3;3;;;;;;1;1;2;1;2;2;1;2;;1;2;2;2;2;1;2;1;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;1;2;1;1;31;3;3;2;2;2;2;2;;2;3;2;"14898000.1979184";"4474385.18221597";"3762891.45355231";"5881277.34048095";0,66433961503718;5983,47785767692;2;2;4;3
"19";2;21;3;2;1;1;2;"1";"1";"1";"1";"1";"1";"1";"2";1;1;3;1;2;1;2;2;1;1;"1";"2";"1";"1";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;2;2;1;2;22;2;4;2;2;2;2;2;;2;4;4;"2834846.37084543";"6037267.85338051";"4208133.6330169";"7731021.03806011";0,811231194896883;21464,5550336775;1;4;2;2
"20";5;52;3;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;4;1;2;1;1;2;2;1;"1";"2";"1";"2";"1";1;2;2;1;2;1;2;;2;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2;1;2;2;2;5;2;1;3;1;2;22;3;4;2;1;;;;1;1;4;4;"3669920.78366589";"1628314.05813775";"1926584.00950762";"1954125.97753969";0,333634274987034;8501,16346198664;1;4;4;2
"21";2;29;3;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;2;3;1;1;1;2;2;2;1;"1";"1";"1";"1";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;2;1;1;2;27;2;4;1;1;;;;5;2;97;4;"2834846.37084543";"6037267.85338051";"4208133.6330169";"5881277.34048095";0,580278168423321;7762,99222560431;1;4;2;3
"22";5;52;2;3;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;3;1;2;2;2;2;2;1;"1";"2";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;1;2;2;1;42;3;4;1;1;;;;1;1;4;4;"3669920.78366589";"1357583.87039275";"1926584.00950762";"2810671.34868652";0,255743900242304;4025,15741006033;3;4;4;3
"23";1;16;3;2;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;3;1;1;1;1;2;2;1;"1";"2";"1";"2";"1";1;1;2;1;2;1;1;2;;1;2;2;2;2;1;2;1;2;2;2;2;4;1;2;2;2;2;2;2;2;2;2;1;2;1;1;4;1;1;1;1;1;58;3;2;2;2;1;;;1;1;2;4;"5164153.94647996";"1088578.61259989";"2267202.44555839";"2061622.47029637";0,197654285882537;6693,13019174431;4;1;4;3
"24";4;42;3;2;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;1;4;1;1;2;2;1;2;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;0;1;1;1;1;2;58;1;3;2;2;2;2;2;;3;3;1;"10072401.6435758";"2356901.94647081";"2041883.72723215";"5811472.35270075";0,248274657190241;6026,47761743459;4;2;1;2
"25";1;17;2;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;3;1;2;2;2;2;2;1;"1";"2";"1";"1";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;2;1;1;2;1;38;1;4;1;2;2;2;2;;2;3;4;"1440823.54572169";"1410601.17309659";"1499244.44762391";"2828257.81207705";0,958927454255763;22557,8882537862;2;4;1;2
"26";3;35;3;2;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;1;4;1;2;2;2;2;1;1;"2";"2";"1";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;5;2;2;1;2;1;40;1;4;1;2;2;2;2;;3;5;4;"21435571.5784308";"7214590.0083199";"11219551.754314";"15599497.5813694";1,87179217291575;42429,6559205853;3;4;1;2
"27";4;43;3;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;3;5;1;2;1;2;2;2;2;"1";"2";"2";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;3;1;1;6;2;27;1;4;2;1;;;;1;2;4;4;"10072401.6435758";"2651313.51254732";"3392772.73855813";"5811472.35270075";0,85300302693329;30958,6748111462;1;4;1;2
"28";3;31;3;2;1;1;4;"1";"1";"1";"1";"1";"1";"1";"2";2;2;3;1;1;1;1;2;2;1;"2";"1";"1";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;1;2;2;2;1;1;5;2;1;2;1;2;34;3;3;1;1;;;;1;1;3;2;"14014348.5743857";"6626547.21734997";"12322615.2408783";"16041980.2259275";1,37301394574092;19874,4434448006;2;3;4;3
"29";2;27;3;2;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;4;2;2;2;2;2;2;1;"1";"2";"1";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;5;2;2;1;2;1;32;3;4;1;1;;;;5;1;2;4;"14898000.1979184";"4474385.18221597";"4208133.6330169";"10613747.399869";1,13403310556005;43526,1064612723;2;4;4;1
"30";2;23;3;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;3;2;2;1;2;2;3;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;1;2;2;2;2;1;1;6;3;1;1;2;1;29;3;3;1;2;2;1;2;;2;2;4;"14898000.1979184";"6037267.85338051";"7259394.23046714";"7731021.03806011";1,91289660863057;107326,87200279;1;3;4;2
"31";1;16;2;3;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;2;3;2;1;1;1;1;2;1;"1";"1";"1";"1";"1";1;1;1;1;2;1;1;2;;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;4;2;2;1;1;2;21;2;4;1;1;;;;6;4;2;3;"549242.77217448";"2120604.22046604";"1499244.44762391";"2363871.19571558";0,197654285882537;10736,4744307341;1;4;2;1
"32";1;11;2;1;1;2;3;"1";"1";"1";"1";"1";"1";"1";"2";2;1;3;1;1;2;2;2;1;1;"2";"2";"1";"2";"2";1;2;2;2;1;2;1;2;;1;2;2;2;2;2;2;1;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;;;3;1;1;2;4;1;34;3;4;1;2;2;2;2;;2;3;4;"5164153.94647996";"1410601.17309659";"1499244.44762391";"2828257.81207705";0,21035526357934;4529,29323061078;2;4;4;2
"33";4;42;3;2;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;2;4;1;1;1;1;1;2;1;"1";"1";"1";"1";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;1;97;2;1;39;1;4;1;1;;;;4;1;3;4;"10072401.6435758";"2252075.16102183";"3392772.73855813";"4835858.60259792";1,82154001585467;64218,9228217737;2;4;1;1
"34";2;22;2;1;2;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;1;3;1;1;1;2;2;2;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;2;1;1;1;45;3;4;1;2;2;1;2;;1;2;4;"14898000.1979184";"4595041.07124126";"4208133.6330169";"5881277.34048095";0,609870137814548;7234,53832102589;3;4;4;3
"35";3;35;2;2;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;4;1;2;1;1;2;2;1;"1";"2";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;3;1;1;2;1;62;1;3;1;1;;;;2;1;97;4;"21435571.5784308";"10873729.3575279";"12322615.2408783";"15599497.5813694";2,74958610490708;203431,065074087;5;3;1;2
"36";5;50;3;2;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;3;5;1;1;2;1;2;1;1;"1";"2";"1";"1";"2";1;2;2;1;2;2;1;1;;;2;2;1;2;2;2;2;2;1;2;2;5;2;2;2;2;2;2;2;2;2;2;2;2;;;3;3;1;3;2;1;36;3;4;2;1;;;;5;3;97;4;"3669920.78366589";"1265229.88040335";"1926584.00950762";"1954125.97753969";0,182984706628559;3417,87144277572;2;4;4;2
"37";5;51;3;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;4;1;2;2;2;2;1;1;"1";"2";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;1;1;1;1;25;1;4;2;1;;;;1;2;2;97;"2544897.92588269";"1628314.05813775";"1926584.00950762";"1954125.97753969";0,225906683261382;7743,00214090168;1;4;1;2
"38";5;52;3;2;1;1;4;"1";"1";"1";"1";"1";"1";"1";"2";2;1;5;1;2;1;1;2;1;1;"2";"2";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;2;2;1;2;2;2;2;2;1;1;5;2;2;1;2;1;28;1;3;1;1;;;;4;2;4;4;"2544897.92588269";"1628314.05813775";"1927007.87039979";"2810671.34868652";0,255743900242304;8165,29561439835;1;3;1;3
"39";2;21;2;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;4;1;1;2;1;2;1;2;"2";"2";"1";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;2;2;2;1;1;23;2;4;1;2;2;1;2;;1;97;4;"2834846.37084543";"6037267.85338051";"4208133.6330169";"5881277.34048095";0,661613246968632;8851,09723588199;1;4;2;3
"40";4;42;3;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;1;3;1;1;2;2;2;1;2;"2";"2";"1";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;3;1;2;1;2;29;1;4;1;1;;;;2;1;5;4;"10072401.6435758";"2651313.51254732";"3392772.73855813";"5811472.35270075";0,455385003963667;16527,6274602086;1;4;1;2
"41";3;35;2;1;2;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;1;2;1;1;1;1;2;1;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;2;2;1;2;18;1;3;1;2;2;2;2;;2;97;4;"21435571.5784308";"8292998.1115813";"12322615.2408783";"15599497.5813694";1,87179217291575;92888,0182935372;1;3;1;2
"42";3;33;3;2;1;1;4;"1";"1";"1";"1";"1";"1";"1";"2";1;2;3;1;1;2;2;2;1;1;"1";"2";"1";"1";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;2;2;2;2;30;1;4;1;2;2;2;2;;4;5;1;"21435571.5784308";"6626547.21734997";"11219551.754314";"16041980.2259275";0,965593794284431;14282,2875018431;2;4;1;3
"43";4;41;3;2;1;1;4;"1";"1";"1";"1";"1";"1";"1";"2";2;2;5;1;1;2;2;2;1;1;"1";"2";"2";"1";"1";1;1;2;2;1;1;20;;;;2;2;2;2;1;2;2;2;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;2;1;6;1;34;1;4;1;1;;;;2;1;4;3;"10072401.6435758";"2252075.16102183";"3392772.73855813";"4835858.60259792";1,14645416714527;40418,5749628226;2;4;1;1
"44";4;42;3;2;1;2;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;5;2;2;2;2;2;1;1;"1";"2";"2";"2";"2";1;1;1;1;1;1;3;;;;1;1;2;2;2;2;1;2;2;2;2;3;1;1;1;2;1;2;1;1;2;2;1;1;1;1;5;3;1;2;1;1;29;3;3;2;1;;;;5;1;3;4;"2358209.30927529";"2651313.51254732";"2041883.72723215";"5811472.35270075";0,455385003963667;10568,3954635974;1;2;4;2
"45";5;53;3;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;3;4;2;1;2;1;2;2;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;1;1;1;1;36;3;4;1;2;2;2;2;;4;97;1;"3669920.78366589";"1265229.88040335";"1926584.00950762";"2810671.34868652";0,333634274987034;4630,23173149224;2;4;4;3
"46";2;21;3;3;1;1;4;"1";"1";"1";"1";"1";"1";"1";"2";2;2;5;1;1;1;1;2;1;1;"97";"97";"97";"97";"97";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;1;1;1;2;1;40;3;4;1;2;2;1;1;;2;97;97;"14898000.1979184";"4595041.07124126";"4208133.6330169";"10613747.399869";2,64645298787453;108766,896029867;3;4;4;1
"47";1;13;3;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;2;1;2;2;2;2;1;2;"1";"2";"2";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;6;2;2;1;1;1;22;1;3;1;2;2;1;2;;2;97;97;"1440823.54572169";"2120604.22046604";"2358346.69976694";"2061622.47029637";0,22261227921727;8678,75304089354;1;3;1;3
"48";3;33;3;1;1;1;4;"1";"1";"1";"1";"1";"1";"1";"2";3;2;5;1;2;2;2;2;1;1;"1";"2";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;2;1;2;1;1;39;1;3;2;1;;;;5;3;2;4;"21435571.5784308";"6626547.21734997";"5696273.08719308";"16041980.2259275";1,35193633479635;20389,4876098739;2;2;1;3
"49";4;41;2;3;2;1;3;"1";"1";"1";"1";"1";"1";"1";"2";3;1;2;1;2;1;1;2;1;3;;;;;;1;1;2;1;1;1;1;2;;1;2;2;2;2;2;1;2;2;1;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;;;3;1;2;1;1;1;45;0;3;2;1;;;;1;1;2;97;"2358209.30927529";"2281776.21520491";"2041883.72723215";"4835858.60259792";1,14645416714527;24481,5926015009;3;2;4;1
"50";4;43;3;1;1;1;2;"1";"1";"1";"1";"1";"1";"1";"2";2;2;1;1;2;2;2;2;1;2;"1";"1";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;2;2;2;2;2;2;2;2;2;2;5;2;2;1;1;2;18;2;2;2;2;1;;;2;3;2;4;"574737.76914959";"2651313.51254732";"4175632.01705986";"2443804.96747532";0,85300302693329;20434,9721495338;1;1;2;3
"51";1;15;3;2;2;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;4;2;2;2;2;2;1;1;"1";"2";"1";"1";"2";1;1;2;2;2;1;15;;;;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;;;1;1;1;1;1;2;27;3;3;1;1;;;;1;4;2;4;"5164153.94647996";"2120604.22046604";"2358346.69976694";"2061622.47029637";0,179930621055583;6420,63023691734;1;3;4;3
"52";5;53;2;3;1;2;3;"1";"1";"1";"1";"1";"1";"1";"2";1;2;3;1;1;1;2;2;1;2;"1";"2";"1";"1";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;3;1;1;2;2;26;1;4;1;1;;;;4;2;5;3;"2544897.92588269";"1628314.05813775";"1926584.00950762";"2810671.34868652";0,333634274987034;8496,53982765699;1;4;1;3
"53";3;35;2;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;2;5;1;1;1;2;2;1;2;"2";"2";"1";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;1;2;2;1;41;1;4;1;1;;;;1;1;4;2;"21435571.5784308";"7214590.0083199";"11219551.754314";"16041980.2259275";2,74958610490708;48008,9025968614;3;4;1;3
"54";3;31;2;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;1;4;1;1;2;2;2;1;1;"1";"2";"1";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;1;3;2;2;30;1;4;1;1;;;;1;1;5;1;"21435571.5784308";"6626547.21734997";"11219551.754314";"16041980.2259275";1,37301394574092;20308,5189995904;2;4;1;3
"55";2;24;3;9;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";1;2;3;1;1;1;2;2;1;1;"2";"1";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;2;1;3;1;45;0;3;1;2;2;2;2;;4;97;4;"14898000.1979184";"4595041.07124126";"7259394.23046714";"5881277.34048095";0,693394436865896;13297,455826445;3;3;4;3
"56";2;28;3;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;5;2;1;2;97;2;2;1;"1";"2";"1";"2";"1";1;2;2;1;2;2;1;1;;;1;2;1;2;2;1;1;2;2;2;2;6;2;1;97;2;2;2;1;1;2;2;2;2;1;2;4;3;1;1;6;1;45;3;3;1;1;;;;2;1;3;1;"14898000.1979184";"4595041.07124126";"7259394.23046714";"7731021.03806011";2,55062083542682;96742,7512327488;3;3;4;2
"57";3;35;3;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;5;1;1;1;1;2;2;1;"1";"2";"2";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;5;2;2;2;2;1;26;3;3;2;2;2;1;1;;1;2;4;"14014348.5743857";"8292998.1115813";"5696273.08719308";"16041980.2259275";3,7435843458315;55967,2701043263;1;2;4;3
"58";4;41;2;2;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;2;1;1;2;1;2;1;2;"2";"2";"2";"1";"1";1;2;2;1;1;1;20;;;;1;1;2;2;2;1;2;2;2;2;2;3;1;1;1;2;2;1;1;2;2;2;2;2;1;1;3;2;2;1;1;1;40;1;4;2;1;;;;3;4;97;2;"10072401.6435758";"2281776.21520491";"3392772.73855813";"5811472.35270075";1,1193762131541;25652,6293036348;3;4;1;2
"59";3;35;3;2;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;3;1;1;1;1;2;1;1;"1";"1";"1";"1";"1";2;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;2;2;2;1;2;2;2;2;1;2;1;2;2;1;1;2;22;1;3;2;2;2;2;1;;3;2;1;"21435571.5784308";"8292998.1115813";"5696273.08719308";"16041980.2259275";11,2307530374945;274043,478344112;1;2;1;3
"60";5;50;3;3;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;5;1;1;2;1;2;2;1;"1";"1";"1";"1";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;3;1;2;1;2;21;2;4;2;1;;;;6;4;97;1;"624691.97513099";"1628314.05813775";"1926584.00950762";"1954125.97753969";0,182984706628559;5654,48741032669;1;4;2;2
