"ID";"regiao.wgts";"P02";"P03";"P04";"P05";"P06";"P07";"P08_1";"P08_2";"P08_3";"P08_4";"P08_5";"P08_6";"P08_7";"P08_8";"P09";"P10";"P11";"P12_01";"P12_02";"P12_03";"P12_04";"P13";"P15";"P16";"P17_1";"P17_2";"P17_3";"P17_4";"P17_5";"P18_A";"P19_1";"P19_2";"P19_3";"P19_4";"P19_5";"P21_A";"P22_A";"P22_B";"P22_E";"P23";"P25";"P26";"P28_1";"P28_2";"P28_3";"P28_4";"P28_5";"P28_6";"P28_7";"P28_8";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_07";"P30_08";"P30_09";"P30_10";"P30_11";"P30_12";"P33_1";"P33_2";"P35";"P36";"P38";"P39";"P40";"P41";"V06";"V07";"V08";"V09";"V10";"V11";"V12";"V12_A";"V12_B";"V13";"V14";"V15";"POP_regiao_raca";"POP_regiao_idade";"POP_regiao_edu";"POP_regiao_porte";"W1";"W2";"idade.wgts";"edu.wgts";"raca.wgts";"porte.wgts"
"655";5;52;3;1;1;2;3;"2";"2";"2";"1";"2";"2";"2";"2";2;2;3;1;2;1;2;2;1;1;"1";"2";"2";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;3;2;1;3;1;27;3;4;2;1;;;;5;4;3;4;"3669920.78366589";"1628314.05813775";"1926584.00950762";"1954125.97753969";0,333634274987034;8501,16346198664;1;4;4;2
"656";1;15;2;3;2;1;4;"2";"1";"2";"2";"2";"2";"2";"2";2;1;3;1;1;1;1;2;1;1;"1";"2";"1";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;6;1;1;3;2;1;45;3;3;2;1;;;;5;2;2;4;"5164153.94647996";"1349979.57783012";"1128957.88513977";"2828257.81207705";0,179930621055583;4853,65118242159;3;2;4;2
"657";2;22;3;3;2;1;3;"2";"2";"2";"1";"2";"2";"2";"2";2;2;3;1;1;1;1;2;3;1;"1";"2";"2";"2";"1";1;2;2;2;1;2;1;2;;2;2;1;2;2;2;2;1;2;2;2;2;5;1;2;2;2;2;2;2;2;2;2;2;2;2;1;5;3;1;1;6;1;33;3;2;2;2;2;2;2;;1;2;4;"14898000.1979184";"4474385.18221597";"8995626.46137368";"10613747.399869";1,2197402756291;83855,724108178;2;1;4;1
"658";5;53;3;1;1;1;3;"2";"1";"2";"1";"1";"2";"1";"2";2;2;3;1;1;2;1;2;1;2;"2";"2";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;1;2;2;2;2;2;1;1;7;2;2;1;1;2;16;3;3;2;2;2;1;1;;2;2;2;"3669920.78366589";"1628314.05813775";"1087421.42160812";"2810671.34868652";0,333634274987034;5661,97106037757;1;2;4;3
"659";5;53;3;1;1;1;3;"2";"2";"2";"2";"1";"2";"2";"2";2;2;3;1;2;1;1;2;1;1;"1";"1";"1";"1";"1";1;2;1;2;2;2;20;;;;2;1;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;4;2;2;1;2;1;41;3;3;1;2;1;;;5;2;2;4;"3669920.78366589";"1357583.87039275";"1927007.87039979";"2810671.34868652";1,0009028249611;19749,8904397192;3;3;4;3
"660";1;16;3;3;1;1;4;"1";"2";"2";"2";"2";"2";"2";"2";2;3;3;1;2;2;97;2;1;1;"2";"2";"1";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;5;3;1;1;1;1;55;5;5;;2;2;2;2;;2;2;97;"99531.21371288";"1088578.61259989";"2267202.44555839";"2061622.47029637";0,988271429412685;6214,28453290083;4;1;3;3
"661";5;52;2;1;1;1;2;"1";"2";"2";"1";"2";"2";"2";"2";97;2;4;1;1;1;2;2;97;1;"1";"1";"1";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;6;3;2;1;2;1;43;3;4;1;1;;;;2;1;2;97;"3669920.78366589";"1357583.87039275";"1926584.00950762";"2153020.05470942";0,255743900242304;9479,95731312362;3;4;4;1
"662";5;53;3;1;2;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;1;3;1;1;1;1;2;3;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;1;1;2;2;21;1;4;1;2;2;1;2;;1;3;4;"2544897.92588269";"1628314.05813775";"1926584.00950762";"2810671.34868652";0,333634274987034;8496,53982765699;1;4;1;3
"663";4;43;2;1;2;1;3;"2";"2";"2";"1";"2";"2";"2";"2";2;2;3;1;2;1;2;2;1;2;"1";"2";"2";"2";"2";1;1;1;2;2;2;97;;;;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;;;2;3;1;1;2;1;54;0;3;1;1;;;;1;1;2;4;"2358209.30927529";"2356901.94647081";"3480847.43992385";"2443804.96747532";0,85300302693329;12090,2672797228;4;3;4;3
"664";5;52;3;3;1;1;3;"2";"2";"2";"1";"2";"2";"2";"2";3;2;3;2;2;2;2;2;1;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;5;2;2;1;1;1;35;3;3;2;2;2;2;2;;2;2;97;"3669920.78366589";"1265229.88040335";"1087421.42160812";"1954125.97753969";0,667268549974068;11172,2263619513;2;2;4;2
