"ID";"regiao.wgts";"P05";"P06";"P07";"P08";"P09";"P10_01";"P10_02";"P10_03";"P10_04";"P10_05";"P10_06";"P10_07";"P10_08";"P10_09";"P11";"P12";"P12_A";"P13_01";"P13_02";"P13_03";"P13_04";"P13_A";"P14";"P15";"P16";"P17";"P17_A_01";"P17_A_02";"P17_A_03";"P17_A_04";"P17_A_05";"P17_A_06";"P17_A_07";"P18";"P18_A";"P18_B";"P18_C_01";"P18_C_02";"P18_C_03";"P18_C_04";"P18_C_05";"P18_C_06";"P19";"P20_01";"P20_02";"P20_03";"P20_04";"P20_05";"P20_06";"P21_01";"P21_02";"P21_03";"P21_04";"P21_05";"P21_06";"P21_09";"P21_10";"P22_01";"P22_02";"P22_03";"P22_04";"P22_05";"P22_06";"P22_07";"P22_08";"P22_09";"P22_10";"P22_11";"P22_12";"P22_13";"P22_14";"P22_15";"P22_16";"P22_17";"P22_A";"P22_B";"P22_C";"P22_D";"P23";"P24";"P25";"P26";"P26_A";"P27";"P28_01";"P28_02";"P28_03";"P28_04";"P28_05";"P28_06";"P28_07";"P28_08";"P28_09";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_A_01";"P30_A_02";"P30_A_03";"P30_A_04";"P30_A_05";"P30_A_06";"P36";"P38";"edu.cruz";"idade.cruz";"regiao.cruz";"trab.cruz";"raca.cruz";"renda.simples";"renda.cruz";"religiao.simples";"religiao.cruz";"POP_regiao_raca";"POP_regiao_idade";"POP_regiao_edu";"W1";"W2";"idade.wgts";"edu.wgts";"raca.wgts"
"1965";1;3;2;1;1;3;2;2;2;1;1;2;2;2;2;2;2;3;2;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;4;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;4;;2;5;1;3;3;0;0;96;96;94553,85;1012067;1122900;0,4076613;14719,75;5;2;3
"1966";3;1;1;3;2;1;2;2;2;2;1;2;2;2;2;1;1;5;1;1;2;1;2;4;1;3;1;2;2;2;2;2;2;2;11;1;1;2;2;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;2;2;2;2;;;;2;2;2;1;2;2;2;2;2;3;1;1;1;1;1;1;1;1;2;2;1;1;;1;4;4;3;1;1;5;5;96;96;19504421;6329165;9667488;0,771416;27854,14;4;4;1
"1967";3;3;2;1;1;4;2;1;2;2;2;2;2;2;2;2;3;5;2;2;2;2;2;4;1;3;1;2;2;2;2;2;2;2;11;1;1;2;2;1;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;2;2;;;;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;6;;4;2;3;2;1;0;0;96;96;19504421;7210036;9667488;0,3634886;13124,78;2;4;1
"1968";5;3;2;1;1;3;2;2;2;1;2;1;2;2;2;2;3;2;1;1;1;1;2;1;1;3;1;2;2;2;2;2;2;2;4;1;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;;4;5;5;3;4;97;;2;2;3421308;1190793;1763116;0,7866364;28403,71;5;4;4
"1969";5;2;2;2;1;4;1;2;2;2;2;2;2;2;2;2;2;97;1;1;2;2;2;97;1;3;2;1;2;2;2;2;2;2;4;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;2;2;;;;2;2;2;1;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;;4;3;4;5;1;4;0;0;2;2;3421308;1042502;1826530;0,5216587;18835,95;4;3;4
"1970";3;2;1;1;1;2;2;2;2;1;1;2;2;2;2;2;1;3;1;2;1;1;2;2;1;3;1;2;2;2;2;2;2;2;11;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;2;2;;;;2;2;1;1;2;2;2;2;2;2;2;1;1;2;2;1;1;1;2;2;1;2;6;;1;2;3;2;4;0;0;96;96;13960677;7210036;10649723;0,8877838;32055,92;2;1;4
"1971";3;2;1;1;1;3;2;2;2;1;2;2;2;2;2;2;2;4;1;2;1;1;2;3;1;2;1;2;2;2;2;2;2;2;4;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;;2;4;1;3;1;1;97;;2;2;19504421;8791280;9667488;1,319376;47639,76;1;4;1
"1972";1;2;1;2;3;3;2;2;2;2;2;1;1;2;2;2;1;3;1;1;2;2;2;4;1;3;1;2;2;2;2;2;2;2;11;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;1;2;2;2;2;2;6;;3;2;1;2;1;3;3;1;1;1307519;1463777;2083133;0,1776111;6413,147;2;3;1
"1973";2;3;1;1;1;3;2;2;2;1;2;2;2;2;2;1;2;5;1;2;2;2;2;4;1;2;1;2;2;2;2;2;2;2;4;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;3;;3;1;2;3;1;3;3;1;1;5740319;6224087;6475162;1,835279;66267,9;1;3;1
"1974";3;3;2;3;1;4;2;1;2;1;2;2;2;2;2;3;1;4;1;2;2;1;2;2;2;1;3;2;2;2;2;2;2;2;;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;;2;2;5;3;1;4;3;3;1;1;13960677;8798166;5572410;0,5328268;19239,21;5;2;4
"1975";3;3;3;1;1;4;1;2;1;2;2;2;2;2;2;1;1;2;1;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;4;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;;1;4;4;3;1;1;5;5;1;1;19504421;6329165;9667488;0,771416;27854,14;4;4;1
"1976";2;2;1;2;2;3;2;1;2;1;2;2;1;2;2;3;2;5;1;2;2;2;2;4;1;3;2;2;2;1;1;2;2;2;4;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;1;2;2;2;2;2;2;2;2;2;;1;3;2;2;1;4;0;0;1;1;14461864;4680529;6475162;0,7292236;26330,66;2;3;4
"1977";2;2;3;1;2;3;2;1;2;1;1;2;2;2;2;2;2;3;2;2;97;97;2;4;1;2;2;2;1;1;2;2;2;2;4;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;4;;3;4;2;3;2;3;3;2;2;2678540;3470224;6475162;0,9969379;35997,24;4;3;2
"1978";3;2;1;1;1;3;2;1;2;2;1;1;2;2;2;2;3;4;1;1;2;2;2;4;1;2;1;2;2;2;2;2;2;2;11;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;4;;1;2;3;3;1;0;0;1;1;19504421;7210036;10649723;3,361408;121373,1;2;1;1
"1979";3;3;2;1;1;4;2;2;2;1;1;2;2;2;2;2;2;1;1;1;1;1;2;4;1;97;2;2;2;1;2;2;2;2;11;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;;2;3;5;3;1;4;0;0;96;96;13960677;8798166;11830617;0,6845231;24716,63;5;3;4
"1980";4;3;3;1;1;4;1;2;2;1;2;1;2;2;2;2;1;4;1;1;1;1;2;4;1;3;1;2;2;2;2;2;2;2;4;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;;3;4;3;4;1;4;5;5;96;96;2374570;2173701;3043136;0,5048605;18229,4;3;4;4
"1981";4;2;3;2;1;3;2;2;2;2;1;2;2;2;2;1;2;3;1;1;1;1;2;4;1;3;1;2;2;2;2;2;2;2;11;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;4;;1;3;4;3;4;0;0;2;2;2374570;2173701;4140325;2,212231;79878,81;3;1;4
"1982";3;3;1;1;1;2;1;2;2;2;2;2;2;2;2;3;97;5;2;1;1;1;2;4;2;1;1;2;2;2;2;2;2;2;11;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;;5;2;3;3;1;4;0;0;96;96;13960677;6591592;5572410;0,6400625;23111,25;3;2;4
"1983";4;3;1;1;1;3;1;1;2;1;2;2;2;2;2;2;1;3;1;1;1;2;2;4;1;2;1;2;2;2;2;2;2;2;4;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;;1;4;2;4;1;1;5;5;2;2;9518913;2302991;3043136;0,6481482;23403,21;2;4;1
